id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
222,Lochan nan Leac,Scotland,lake,45623,593.0,320,57.84054,-4.75441,https://tarns.netlify.app/?id=222,"https://www.google.com/maps/@?api=1&map_action=map&center=57.84054,-4.75441&zoom=15&basemap=satellite",0.699,1.48,4.56
223,Lochan Sgeireich,Scotland,lake,137672,591.5,572,57.81896,-4.70528,https://tarns.netlify.app/?id=223,"https://www.google.com/maps/@?api=1&map_action=map&center=57.81896,-4.70528&zoom=15&basemap=satellite",0.536,1.13,13.77
224,(unnamed),Scotland,,9816,591.3,161,57.09208,-5.4597,https://tarns.netlify.app/?id=224,"https://www.google.com/maps/@?api=1&map_action=map&center=57.09208,-5.4597&zoom=15&basemap=satellite",0.643,1.66,0.98
225,Fuar Loch Mor,Scotland,,326789,590.9,986,57.72957,-5.34763,https://tarns.netlify.app/?id=225,"https://www.google.com/maps/@?api=1&map_action=map&center=57.72957,-5.34763&zoom=15&basemap=satellite",0.755,2.19,32.68
226,Lochan Gobhlach,Scotland,lake,110509,589.6,561,57.72999,-4.65035,https://tarns.netlify.app/?id=226,"https://www.google.com/maps/@?api=1&map_action=map&center=57.72999,-4.65035&zoom=15&basemap=satellite",0.535,1.5,11.05
227,Loch an Eilein,Scotland,,42992,588.1,356,57.68622,-4.96868,https://tarns.netlify.app/?id=227,"https://www.google.com/maps/@?api=1&map_action=map&center=57.68622,-4.96868&zoom=15&basemap=satellite",0.646,1.65,4.3
228,(unnamed),Scotland,lake,10985,587.2,277,56.92047,-5.58163,https://tarns.netlify.app/?id=228,"https://www.google.com/maps/@?api=1&map_action=map&center=56.92047,-5.58163&zoom=15&basemap=satellite",0.403,2.76,1.1
229,Lochan an Eireannaich,Scotland,,15138,586.5,192,56.38749,-4.40816,https://tarns.netlify.app/?id=229,"https://www.google.com/maps/@?api=1&map_action=map&center=56.38749,-4.40816&zoom=15&basemap=satellite",0.69,1.65,1.51
230,Loch Meall a' Mhadaidh,Scotland,,42144,585.7,390,57.38763,-4.8372,https://tarns.netlify.app/?id=230,"https://www.google.com/maps/@?api=1&map_action=map&center=57.38763,-4.8372&zoom=15&basemap=satellite",0.671,2.29,4.21
231,Lochan nan Caorach,Scotland,,14437,585.7,277,58.16617,-4.90875,https://tarns.netlify.app/?id=231,"https://www.google.com/maps/@?api=1&map_action=map&center=58.16617,-4.90875&zoom=15&basemap=satellite",0.568,2.85,1.44
232,Loch Coire Mhic Fhearchair,Scotland,,96686,584.9,604,57.59099,-5.44491,https://tarns.netlify.app/?id=232,"https://www.google.com/maps/@?api=1&map_action=map&center=57.59099,-5.44491&zoom=15&basemap=satellite",0.655,2.44,9.67
233,Loch na Lap,Scotland,lake,106047,584.9,580,56.8075,-4.62805,https://tarns.netlify.app/?id=233,"https://www.google.com/maps/@?api=1&map_action=map&center=56.8075,-4.62805&zoom=15&basemap=satellite",0.456,1.19,10.6
234,Loch nam Meirleach,Scotland,lake,23840,584.0,307,57.27648,-4.70238,https://tarns.netlify.app/?id=234,"https://www.google.com/maps/@?api=1&map_action=map&center=57.27648,-4.70238&zoom=15&basemap=satellite",0.537,2.1,2.38
235,Greensett Moss,England,pond,13675,583.3,227,54.2347,-2.39541,https://tarns.netlify.app/?id=235,"https://www.google.com/maps/@?api=1&map_action=map&center=54.2347,-2.39541&zoom=15&basemap=satellite",0.539,1.95,1.37
236,(unnamed),Scotland,lake,6401,583.2,155,56.91895,-5.58564,https://tarns.netlify.app/?id=236,"https://www.google.com/maps/@?api=1&map_action=map&center=56.91895,-5.58564&zoom=15&basemap=satellite",0.65,2.25,0.64
237,Loch Bhanamhoir,Scotland,,53160,581.8,374,57.62547,-5.39324,https://tarns.netlify.app/?id=237,"https://www.google.com/maps/@?api=1&map_action=map&center=57.62547,-5.39324&zoom=15&basemap=satellite",0.593,1.34,5.32
238,Loch Squadaig,Scotland,,43791,581.7,428,56.95052,-4.69684,https://tarns.netlify.app/?id=238,"https://www.google.com/maps/@?api=1&map_action=map&center=56.95052,-4.69684&zoom=15&basemap=satellite",0.621,2.5,4.38
239,Loch Srùban Mòra,Scotland,lake,114306,580.8,522,57.81985,-4.8179,https://tarns.netlify.app/?id=239,"https://www.google.com/maps/@?api=1&map_action=map&center=57.81985,-4.8179&zoom=15&basemap=satellite",0.64,1.4,11.43
240,(unnamed),Scotland,,15307,580.4,240,57.10177,-3.79897,https://tarns.netlify.app/?id=240,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10177,-3.79897&zoom=15&basemap=satellite",0.548,1.89,1.53
241,Loch nan Eilean,Scotland,lake,41820,579.7,442,57.76928,-4.90975,https://tarns.netlify.app/?id=241,"https://www.google.com/maps/@?api=1&map_action=map&center=57.76928,-4.90975&zoom=15&basemap=satellite",0.537,2.46,4.18
242,Loch Tuath,Scotland,lake,37383,579.1,346,57.79718,-4.89355,https://tarns.netlify.app/?id=242,"https://www.google.com/maps/@?api=1&map_action=map&center=57.79718,-4.89355&zoom=15&basemap=satellite",0.685,1.97,3.74
243,Llyn Du'r Arddu,Wales,,20223,578.7,216,53.08054,-4.09048,https://tarns.netlify.app/?id=243,"https://www.google.com/maps/@?api=1&map_action=map&center=53.08054,-4.09048&zoom=15&basemap=satellite",0.737,1.44,2.02
244,(unnamed),Scotland,,13952,578.3,186,56.68522,-3.88332,https://tarns.netlify.app/?id=244,"https://www.google.com/maps/@?api=1&map_action=map&center=56.68522,-3.88332&zoom=15&basemap=satellite",0.712,1.77,1.4
245,(unnamed),Scotland,,6867,578.2,124,56.96975,-5.57267,https://tarns.netlify.app/?id=245,"https://www.google.com/maps/@?api=1&map_action=map&center=56.96975,-5.57267&zoom=15&basemap=satellite",0.807,1.59,0.69
246,Loch Eas Domhain,Scotland,lake,22849,578.1,269,56.43411,-4.17085,https://tarns.netlify.app/?id=246,"https://www.google.com/maps/@?api=1&map_action=map&center=56.43411,-4.17085&zoom=15&basemap=satellite",0.725,2.28,2.28
247,Loch Fender,Scotland,,93223,578.0,532,56.55036,-3.82509,https://tarns.netlify.app/?id=247,"https://www.google.com/maps/@?api=1&map_action=map&center=56.55036,-3.82509&zoom=15&basemap=satellite",0.615,1.23,9.32
248,Loch Cnoc na Mointeich,Scotland,,113388,576.9,483,57.51093,-5.15174,https://tarns.netlify.app/?id=248,"https://www.google.com/maps/@?api=1&map_action=map&center=57.51093,-5.15174&zoom=15&basemap=satellite",0.784,1.39,11.34
249,Creiglyn Dyfi,Wales,,57839,576.5,339,52.78851,-3.68063,https://tarns.netlify.app/?id=249,"https://www.google.com/maps/@?api=1&map_action=map&center=52.78851,-3.68063&zoom=15&basemap=satellite",0.791,1.4,5.78
250,Loch a' Choire Ghrànda,Scotland,lake,134737,576.5,705,57.7815,-4.91161,https://tarns.netlify.app/?id=250,"https://www.google.com/maps/@?api=1&map_action=map&center=57.7815,-4.91161&zoom=15&basemap=satellite",0.55,1.43,13.47
251,(unnamed),Scotland,,7919,576.3,176,57.10743,-4.93601,https://tarns.netlify.app/?id=251,"https://www.google.com/maps/@?api=1&map_action=map&center=57.10743,-4.93601&zoom=15&basemap=satellite",0.62,2.36,0.79
252,(unnamed),Scotland,lake,9818,574.4,210,56.81577,-5.70338,https://tarns.netlify.app/?id=252,"https://www.google.com/maps/@?api=1&map_action=map&center=56.81577,-5.70338&zoom=15&basemap=satellite",0.707,3.16,0.98
253,(unnamed),Scotland,,18899,573.1,247,57.27976,-4.70611,https://tarns.netlify.app/?id=253,"https://www.google.com/maps/@?api=1&map_action=map&center=57.27976,-4.70611&zoom=15&basemap=satellite",0.547,1.56,1.89
254,(unnamed),Scotland,pond,6067,572.8,119,57.18102,-4.69475,https://tarns.netlify.app/?id=254,"https://www.google.com/maps/@?api=1&map_action=map&center=57.18102,-4.69475&zoom=15&basemap=satellite",0.547,1.09,0.61
255,(unnamed),Scotland,,6195,572.4,111,57.25902,-4.56532,https://tarns.netlify.app/?id=255,"https://www.google.com/maps/@?api=1&map_action=map&center=57.25902,-4.56532&zoom=15&basemap=satellite",0.75,1.42,0.62
256,(unnamed),Scotland,lake,5887,571.9,156,55.1664,-4.49752,https://tarns.netlify.app/?id=256,"https://www.google.com/maps/@?api=1&map_action=map&center=55.1664,-4.49752&zoom=15&basemap=satellite",0.535,2.09,0.59
257,An Gorm-Loch,Scotland,,161489,571.8,895,57.45941,-4.96095,https://tarns.netlify.app/?id=257,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45941,-4.96095&zoom=15&basemap=satellite",0.571,2.83,16.15
258,(unnamed),Scotland,,28801,571.3,281,57.2279,-4.85968,https://tarns.netlify.app/?id=258,"https://www.google.com/maps/@?api=1&map_action=map&center=57.2279,-4.85968&zoom=15&basemap=satellite",0.568,1.55,2.88
259,Lochan Bac an Locahin,Scotland,,16776,570.9,339,56.72314,-5.65719,https://tarns.netlify.app/?id=259,"https://www.google.com/maps/@?api=1&map_action=map&center=56.72314,-5.65719&zoom=15&basemap=satellite",0.374,2.56,1.68
260,Llyn yr Adar,Wales,,53074,570.8,353,53.01237,-4.00545,https://tarns.netlify.app/?id=260,"https://www.google.com/maps/@?api=1&map_action=map&center=53.01237,-4.00545&zoom=15&basemap=satellite",0.711,1.64,5.31
261,(unnamed),Scotland,,5786,570.6,144,56.93244,-4.45622,https://tarns.netlify.app/?id=261,"https://www.google.com/maps/@?api=1&map_action=map&center=56.93244,-4.45622&zoom=15&basemap=satellite",0.498,1.23,0.58
262,(unnamed),Scotland,,9341,569.7,1275,56.96278,-4.55934,https://tarns.netlify.app/?id=262,"https://www.google.com/maps/@?api=1&map_action=map&center=56.96278,-4.55934&zoom=15&basemap=satellite",0.074,12.83,0.93
263,(unnamed),Scotland,lake,8436,569.3,146,57.26656,-4.63021,https://tarns.netlify.app/?id=263,"https://www.google.com/maps/@?api=1&map_action=map&center=57.26656,-4.63021&zoom=15&basemap=satellite",0.808,2.01,0.84
264,Llyn Cwm Llwch,Wales,lake,7940,569.2,121,51.88764,-3.45166,https://tarns.netlify.app/?id=264,"https://www.google.com/maps/@?api=1&map_action=map&center=51.88764,-3.45166&zoom=15&basemap=satellite",0.807,1.47,0.79
265,Lochan Dubh,Scotland,,12203,568.9,153,57.13914,-3.70393,https://tarns.netlify.app/?id=265,"https://www.google.com/maps/@?api=1&map_action=map&center=57.13914,-3.70393&zoom=15&basemap=satellite",0.763,1.45,1.22
266,Lochan a' Chait,Scotland,,51781,568.3,521,56.68281,-3.88615,https://tarns.netlify.app/?id=266,"https://www.google.com/maps/@?api=1&map_action=map&center=56.68281,-3.88615&zoom=15&basemap=satellite",0.613,3.14,5.18
267,(unnamed),Scotland,lake,15476,567.6,210,58.14692,-4.87824,https://tarns.netlify.app/?id=267,"https://www.google.com/maps/@?api=1&map_action=map&center=58.14692,-4.87824&zoom=15&basemap=satellite",0.591,1.69,1.55
268,(unnamed),Scotland,,11445,567.1,225,57.23938,-5.53354,https://tarns.netlify.app/?id=268,"https://www.google.com/maps/@?api=1&map_action=map&center=57.23938,-5.53354&zoom=15&basemap=satellite",0.534,2.35,1.14
269,Loch a' Coire Uaine,Scotland,,15528,567.0,230,57.16433,-5.42794,https://tarns.netlify.app/?id=269,"https://www.google.com/maps/@?api=1&map_action=map&center=57.16433,-5.42794&zoom=15&basemap=satellite",0.657,2.16,1.55
270,(unnamed),Scotland,,6699,566.5,166,57.17108,-4.72772,https://tarns.netlify.app/?id=270,"https://www.google.com/maps/@?api=1&map_action=map&center=57.17108,-4.72772&zoom=15&basemap=satellite",0.608,2.48,0.67
271,Lochan Gobhlach,Scotland,,12375,566.4,270,57.52965,-5.37441,https://tarns.netlify.app/?id=271,"https://www.google.com/maps/@?api=1&map_action=map&center=57.52965,-5.37441&zoom=15&basemap=satellite",0.447,2.55,1.24
272,(unnamed),Scotland,lake,17279,566.2,255,57.23023,-4.81633,https://tarns.netlify.app/?id=272,"https://www.google.com/maps/@?api=1&map_action=map&center=57.23023,-4.81633&zoom=15&basemap=satellite",0.651,2.17,1.73
273,Gameshope Loch,Scotland,,13533,566.1,189,55.43326,-3.37646,https://tarns.netlify.app/?id=273,"https://www.google.com/maps/@?api=1&map_action=map&center=55.43326,-3.37646&zoom=15&basemap=satellite",0.729,1.75,1.35
274,Llyn y Biswail,Wales,,7786,565.3,182,53.0066,-4.01491,https://tarns.netlify.app/?id=274,"https://www.google.com/maps/@?api=1&map_action=map&center=53.0066,-4.01491&zoom=15&basemap=satellite",0.83,3.47,0.78
275,Lochan Coire Lagan,Scotland,lake,6484,564.9,115,57.20742,-6.23351,https://tarns.netlify.app/?id=275,"https://www.google.com/maps/@?api=1&map_action=map&center=57.20742,-6.23351&zoom=15&basemap=satellite",0.62,1.24,0.65
276,Loch na Gabhalach Nodha,Scotland,lake,75191,564.5,519,57.83255,-4.76337,https://tarns.netlify.app/?id=276,"https://www.google.com/maps/@?api=1&map_action=map&center=57.83255,-4.76337&zoom=15&basemap=satellite",0.598,2.13,7.52
277,Lochan Seogh,Scotland,lake,28536,564.3,236,57.23013,-4.82033,https://tarns.netlify.app/?id=277,"https://www.google.com/maps/@?api=1&map_action=map&center=57.23013,-4.82033&zoom=15&basemap=satellite",0.681,1.28,2.85
278,Roch nan Gobhar,Scotland,,9207,563.8,216,57.45424,-5.31016,https://tarns.netlify.app/?id=278,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45424,-5.31016&zoom=15&basemap=satellite",0.477,2.24,0.92
279,Lochan Dubh,Scotland,,5441,563.6,111,56.29045,-4.6784,https://tarns.netlify.app/?id=279,"https://www.google.com/maps/@?api=1&map_action=map&center=56.29045,-4.6784&zoom=15&basemap=satellite",0.7,1.29,0.54
280,(unnamed),Scotland,,55914,563.6,387,57.33918,-4.83888,https://tarns.netlify.app/?id=280,"https://www.google.com/maps/@?api=1&map_action=map&center=57.33918,-4.83888&zoom=15&basemap=satellite",0.624,1.47,5.59
281,Loch Coireag nam Mang,Scotland,,16980,563.4,258,57.50348,-5.13961,https://tarns.netlify.app/?id=281,"https://www.google.com/maps/@?api=1&map_action=map&center=57.50348,-5.13961&zoom=15&basemap=satellite",0.533,1.77,1.7
282,Angle Tarn,England,,34067,563.0,233,54.45862,-3.16718,https://tarns.netlify.app/?id=282,"https://www.google.com/maps/@?api=1&map_action=map&center=54.45862,-3.16718&zoom=15&basemap=satellite",0.753,1.05,3.41
283,Lochan Sgaradh Gobhair,Scotland,,21633,561.9,298,56.6919,-3.82491,https://tarns.netlify.app/?id=283,"https://www.google.com/maps/@?api=1&map_action=map&center=56.6919,-3.82491&zoom=15&basemap=satellite",0.63,2.48,2.16
284,Loch a' Choire Raibhaich,Scotland,lake,15672,561.8,233,57.53187,-4.81407,https://tarns.netlify.app/?id=284,"https://www.google.com/maps/@?api=1&map_action=map&center=57.53187,-4.81407&zoom=15&basemap=satellite",0.737,2.54,1.57
285,(unnamed),Scotland,,5642,561.6,148,57.41265,-5.71324,https://tarns.netlify.app/?id=285,"https://www.google.com/maps/@?api=1&map_action=map&center=57.41265,-5.71324&zoom=15&basemap=satellite",0.622,2.42,0.56
286,Loch a' Bhrisidh,Scotland,,80528,561.6,476,57.72947,-5.26179,https://tarns.netlify.app/?id=286,"https://www.google.com/maps/@?api=1&map_action=map&center=57.72947,-5.26179&zoom=15&basemap=satellite",0.702,1.95,8.05
287,Lochan Cnapach,Scotland,,41095,560.5,318,57.75046,-5.35331,https://tarns.netlify.app/?id=287,"https://www.google.com/maps/@?api=1&map_action=map&center=57.75046,-5.35331&zoom=15&basemap=satellite",0.724,1.68,4.11
288,(unnamed),Scotland,pond,9321,560.1,223,57.4864,-4.92219,https://tarns.netlify.app/?id=288,"https://www.google.com/maps/@?api=1&map_action=map&center=57.4864,-4.92219&zoom=15&basemap=satellite",0.599,3.17,0.93
289,Loch a' Choire Mhòir,Scotland,lake,65329,559.8,425,57.68701,-4.55791,https://tarns.netlify.app/?id=289,"https://www.google.com/maps/@?api=1&map_action=map&center=57.68701,-4.55791&zoom=15&basemap=satellite",0.524,1.35,6.53
290,Loch a' Mhadaidh,Scotland,,308565,559.7,805,57.71237,-5.02446,https://tarns.netlify.app/?id=290,"https://www.google.com/maps/@?api=1&map_action=map&center=57.71237,-5.02446&zoom=15&basemap=satellite",0.585,1.13,30.86
291,Lochan Meall an t-Suidhe,Scotland,,106452,559.3,782,56.80939,-5.04202,https://tarns.netlify.app/?id=291,"https://www.google.com/maps/@?api=1&map_action=map&center=56.80939,-5.04202&zoom=15&basemap=satellite",0.599,3.41,10.65
292,(unnamed),Scotland,,6149,558.9,169,57.59655,-5.57646,https://tarns.netlify.app/?id=292,"https://www.google.com/maps/@?api=1&map_action=map&center=57.59655,-5.57646&zoom=15&basemap=satellite",0.588,2.56,0.61
293,(unnamed),Scotland,,8827,558.5,143,57.18412,-4.69117,https://tarns.netlify.app/?id=293,"https://www.google.com/maps/@?api=1&map_action=map&center=57.18412,-4.69117&zoom=15&basemap=satellite",0.681,1.51,0.88
294,Loch nan Gobhar,Scotland,,33398,557.8,451,57.23112,-4.80456,https://tarns.netlify.app/?id=294,"https://www.google.com/maps/@?api=1&map_action=map&center=57.23112,-4.80456&zoom=15&basemap=satellite",0.522,2.97,3.34
295,Llyn y Gader,Wales,lake,47137,557.8,339,52.70394,-3.91391,https://tarns.netlify.app/?id=295,"https://www.google.com/maps/@?api=1&map_action=map&center=52.70394,-3.91391&zoom=15&basemap=satellite",0.725,1.74,4.71
296,(unnamed),Scotland,,7927,556.3,187,57.43624,-5.53717,https://tarns.netlify.app/?id=296,"https://www.google.com/maps/@?api=1&map_action=map&center=57.43624,-5.53717&zoom=15&basemap=satellite",0.496,2.18,0.79
297,Lochan an Talamh Dheirg,Scotland,,12688,556.3,148,57.04067,-5.52385,https://tarns.netlify.app/?id=297,"https://www.google.com/maps/@?api=1&map_action=map&center=57.04067,-5.52385&zoom=15&basemap=satellite",0.762,1.07,1.27
298,Loch Magharaidh,Scotland,,232831,556.1,798,57.7564,-4.60349,https://tarns.netlify.app/?id=298,"https://www.google.com/maps/@?api=1&map_action=map&center=57.7564,-4.60349&zoom=15&basemap=satellite",0.771,1.94,23.28
299,Lochan,Scotland,,9737,556.1,135,57.20983,-6.21201,https://tarns.netlify.app/?id=299,"https://www.google.com/maps/@?api=1&map_action=map&center=57.20983,-6.21201&zoom=15&basemap=satellite",0.809,1.12,0.97
300,(unnamed),Scotland,lake,6345,552.4,130,56.89214,-5.54154,https://tarns.netlify.app/?id=300,"https://www.google.com/maps/@?api=1&map_action=map&center=56.89214,-5.54154&zoom=15&basemap=satellite",0.567,1.13,0.63
301,Lochan Meall na Caillich,Scotland,,8763,551.2,138,57.43516,-5.53354,https://tarns.netlify.app/?id=301,"https://www.google.com/maps/@?api=1&map_action=map&center=57.43516,-5.53354&zoom=15&basemap=satellite",0.688,1.42,0.88
302,(unnamed),Scotland,lake,10354,551.2,160,56.46454,-4.4105,https://tarns.netlify.app/?id=302,"https://www.google.com/maps/@?api=1&map_action=map&center=56.46454,-4.4105&zoom=15&basemap=satellite",0.715,1.67,1.04
303,Outershaw Tarn,England,,9924,550.8,144,54.23451,-2.18146,https://tarns.netlify.app/?id=303,"https://www.google.com/maps/@?api=1&map_action=map&center=54.23451,-2.18146&zoom=15&basemap=satellite",0.708,1.1,0.99
304,(unnamed),Scotland,,5909,550.5,123,56.44441,-4.91613,https://tarns.netlify.app/?id=304,"https://www.google.com/maps/@?api=1&map_action=map&center=56.44441,-4.91613&zoom=15&basemap=satellite",0.557,1.06,0.59
305,Llyn Bochlwyd,Wales,lake,43592,549.9,354,53.11339,-4.0111,https://tarns.netlify.app/?id=305,"https://www.google.com/maps/@?api=1&map_action=map&center=53.11339,-4.0111&zoom=15&basemap=satellite",0.57,1.28,4.36
306,Loch Beag,Scotland,,22462,549.3,438,57.48028,-4.72685,https://tarns.netlify.app/?id=306,"https://www.google.com/maps/@?api=1&map_action=map&center=57.48028,-4.72685&zoom=15&basemap=satellite",0.581,4.93,2.25
307,(unnamed),Scotland,,18984,549.1,210,57.76454,-4.60836,https://tarns.netlify.app/?id=307,"https://www.google.com/maps/@?api=1&map_action=map&center=57.76454,-4.60836&zoom=15&basemap=satellite",0.667,1.11,1.9
308,Loch Toll nam Biast,Scotland,,62403,548.4,501,57.59733,-5.57027,https://tarns.netlify.app/?id=308,"https://www.google.com/maps/@?api=1&map_action=map&center=57.59733,-5.57027&zoom=15&basemap=satellite",0.604,2.34,6.24
309,Loch A'Chlaidheimh,Scotland,,127811,548.0,601,57.47108,-5.08844,https://tarns.netlify.app/?id=309,"https://www.google.com/maps/@?api=1&map_action=map&center=57.47108,-5.08844&zoom=15&basemap=satellite",0.623,1.43,12.78
310,(unnamed),Scotland,,9729,547.9,142,56.7528,-5.50033,https://tarns.netlify.app/?id=310,"https://www.google.com/maps/@?api=1&map_action=map&center=56.7528,-5.50033&zoom=15&basemap=satellite",0.729,1.5,0.97
311,Loch na Creige Riabhaich,Scotland,,12352,547.7,155,58.40782,-4.42449,https://tarns.netlify.app/?id=311,"https://www.google.com/maps/@?api=1&map_action=map&center=58.40782,-4.42449&zoom=15&basemap=satellite",0.733,1.26,1.24
312,Llyn Edno,Wales,,57660,547.5,419,53.02829,-3.99542,https://tarns.netlify.app/?id=312,"https://www.google.com/maps/@?api=1&map_action=map&center=53.02829,-3.99542&zoom=15&basemap=satellite",0.59,1.64,5.77
313,Feur-lochan,Scotland,lake,9027,547.3,190,57.81317,-4.68538,https://tarns.netlify.app/?id=313,"https://www.google.com/maps/@?api=1&map_action=map&center=57.81317,-4.68538&zoom=15&basemap=satellite",0.522,1.94,0.9
314,(unnamed),Scotland,,5446,546.4,160,57.59637,-5.56437,https://tarns.netlify.app/?id=314,"https://www.google.com/maps/@?api=1&map_action=map&center=57.59637,-5.56437&zoom=15&basemap=satellite",0.442,1.78,0.54
315,Loch na Mang,Scotland,,23626,546.4,225,58.31644,-4.74745,https://tarns.netlify.app/?id=315,"https://www.google.com/maps/@?api=1&map_action=map&center=58.31644,-4.74745&zoom=15&basemap=satellite",0.721,1.22,2.36
316,(unnamed),Scotland,lake,6781,545.7,128,57.26168,-4.65638,https://tarns.netlify.app/?id=316,"https://www.google.com/maps/@?api=1&map_action=map&center=57.26168,-4.65638&zoom=15&basemap=satellite",0.666,1.45,0.68
317,Loch Prille,Scotland,,90647,545.7,674,57.79387,-4.88073,https://tarns.netlify.app/?id=317,"https://www.google.com/maps/@?api=1&map_action=map&center=57.79387,-4.88073&zoom=15&basemap=satellite",0.567,2.84,9.06
318,Feur-lochan,Scotland,,9271,545.5,211,57.71189,-4.62236,https://tarns.netlify.app/?id=318,"https://www.google.com/maps/@?api=1&map_action=map&center=57.71189,-4.62236&zoom=15&basemap=satellite",0.697,3.33,0.93
319,Lochan a' Choire Ghuirm,Scotland,lake,26813,544.9,318,58.19538,-4.95941,https://tarns.netlify.app/?id=319,"https://www.google.com/maps/@?api=1&map_action=map&center=58.19538,-4.95941&zoom=15&basemap=satellite",0.57,2.15,2.68
320,Low Water,England,,19546,544.6,210,54.37464,-3.11789,https://tarns.netlify.app/?id=320,"https://www.google.com/maps/@?api=1&map_action=map&center=54.37464,-3.11789&zoom=15&basemap=satellite",0.677,1.48,1.95
321,Heart Loch,Scotland,,11242,541.7,153,56.44271,-4.9095,https://tarns.netlify.app/?id=321,"https://www.google.com/maps/@?api=1&map_action=map&center=56.44271,-4.9095&zoom=15&basemap=satellite",0.638,1.25,1.12
322,Loch a' Mhadaih Ruadh,Scotland,,12984,541.6,190,57.47904,-5.45631,https://tarns.netlify.app/?id=322,"https://www.google.com/maps/@?api=1&map_action=map&center=57.47904,-5.45631&zoom=15&basemap=satellite",0.659,1.5,1.3
323,An Gorm-loch,Scotland,,99600,540.8,547,57.47999,-4.71527,https://tarns.netlify.app/?id=323,"https://www.google.com/maps/@?api=1&map_action=map&center=57.47999,-4.71527&zoom=15&basemap=satellite",0.546,1.33,9.96
324,Grisedale Tarn,England,,117191,540.3,564,54.49953,-3.00705,https://tarns.netlify.app/?id=324,"https://www.google.com/maps/@?api=1&map_action=map&center=54.49953,-3.00705&zoom=15&basemap=satellite",0.69,1.84,11.72
325,Loch nan Druidean,Scotland,lake,80161,539.5,477,57.70523,-4.58452,https://tarns.netlify.app/?id=325,"https://www.google.com/maps/@?api=1&map_action=map&center=57.70523,-4.58452&zoom=15&basemap=satellite",0.712,1.94,8.02
326,(unnamed),Scotland,,6789,539.3,122,57.5979,-5.56104,https://tarns.netlify.app/?id=326,"https://www.google.com/maps/@?api=1&map_action=map&center=57.5979,-5.56104&zoom=15&basemap=satellite",0.678,1.38,0.68
327,Loch Toll a' Mhuic,Scotland,,41267,538.7,334,57.43517,-4.95019,https://tarns.netlify.app/?id=327,"https://www.google.com/maps/@?api=1&map_action=map&center=57.43517,-4.95019&zoom=15&basemap=satellite",0.676,1.82,4.13
328,Llyn Du,Wales,,19810,537.8,242,52.31315,-3.76213,https://tarns.netlify.app/?id=328,"https://www.google.com/maps/@?api=1&map_action=map&center=52.31315,-3.76213&zoom=15&basemap=satellite",0.69,2.03,1.98
329,Loch Gorm,Scotland,,217352,537.2,673,57.68118,-4.95421,https://tarns.netlify.app/?id=329,"https://www.google.com/maps/@?api=1&map_action=map&center=57.68118,-4.95421&zoom=15&basemap=satellite",0.701,1.44,21.74
330,Loch Fearna,Scotland,,104711,536.7,458,57.07788,-5.20954,https://tarns.netlify.app/?id=330,"https://www.google.com/maps/@?api=1&map_action=map&center=57.07788,-5.20954&zoom=15&basemap=satellite",0.662,1.23,10.47
331,(unnamed),Scotland,,12595,536.4,232,55.3198,-4.0604,https://tarns.netlify.app/?id=331,"https://www.google.com/maps/@?api=1&map_action=map&center=55.3198,-4.0604&zoom=15&basemap=satellite",0.81,3.45,1.26
332,Loch Bealach nam Buthan,Scotland,,13612,536.0,218,57.76933,-4.98357,https://tarns.netlify.app/?id=332,"https://www.google.com/maps/@?api=1&map_action=map&center=57.76933,-4.98357&zoom=15&basemap=satellite",0.719,2.45,1.36
333,Loch na Leirisdein,Scotland,,88868,535.8,533,57.26897,-4.70319,https://tarns.netlify.app/?id=333,"https://www.google.com/maps/@?api=1&map_action=map&center=57.26897,-4.70319&zoom=15&basemap=satellite",0.581,1.85,8.89
334,Loch Dithreabh na Cuileige,Scotland,,18201,535.4,258,57.40928,-5.71035,https://tarns.netlify.app/?id=334,"https://www.google.com/maps/@?api=1&map_action=map&center=57.40928,-5.71035&zoom=15&basemap=satellite",0.539,1.96,1.82
335,Loch na Caillich,Scotland,lake,28530,534.5,238,57.52626,-4.78054,https://tarns.netlify.app/?id=335,"https://www.google.com/maps/@?api=1&map_action=map&center=57.52626,-4.78054&zoom=15&basemap=satellite",0.687,1.34,2.85
336,Llyn y Foel,Wales,,37326,534.4,295,53.07473,-3.9205,https://tarns.netlify.app/?id=336,"https://www.google.com/maps/@?api=1&map_action=map&center=53.07473,-3.9205&zoom=15&basemap=satellite",0.68,1.54,3.73
337,(unnamed),Scotland,lake,46564,534.4,382,57.2739,-4.71444,https://tarns.netlify.app/?id=337,"https://www.google.com/maps/@?api=1&map_action=map&center=57.2739,-4.71444&zoom=15&basemap=satellite",0.51,1.24,4.66
338,Llyn Carw,Wales,,16187,533.4,174,52.23677,-3.67663,https://tarns.netlify.app/?id=338,"https://www.google.com/maps/@?api=1&map_action=map&center=52.23677,-3.67663&zoom=15&basemap=satellite",0.778,1.31,1.62
339,Llynnoedd Ieuan,Wales,pond,107609,533.2,870,52.41796,-3.76935,https://tarns.netlify.app/?id=339,"https://www.google.com/maps/@?api=1&map_action=map&center=52.41796,-3.76935&zoom=15&basemap=satellite",0.208,1.34,10.76
