id,name,country,water_type,area_sqm,elevation,length_m,lat,lon,os_map,google_sat,compactness,aspect_ratio,area_hectares
26,Sandy Loch,Scotland,lake,47090,797.7,302,56.9627,-3.27087,https://tarns.netlify.app/?id=26,"https://www.google.com/maps/@?api=1&map_action=map&center=56.9627,-3.27087&zoom=15&basemap=satellite",0.705,1.03,4.71
27,(unnamed),Scotland,,7974,793.6,168,56.84963,-4.49132,https://tarns.netlify.app/?id=27,"https://www.google.com/maps/@?api=1&map_action=map&center=56.84963,-4.49132&zoom=15&basemap=satellite",0.655,2.25,0.8
28,Lochnagar,Scotland,lake,100954,788.2,498,56.95909,-3.23156,https://tarns.netlify.app/?id=28,"https://www.google.com/maps/@?api=1&map_action=map&center=56.95909,-3.23156&zoom=15&basemap=satellite",0.592,1.41,10.1
29,(unnamed),Scotland,,6805,786.1,125,56.75358,-4.88587,https://tarns.netlify.app/?id=29,"https://www.google.com/maps/@?api=1&map_action=map&center=56.75358,-4.88587&zoom=15&basemap=satellite",0.754,1.15,0.68
30,Loch na Beinne Bàine,Scotland,,10865,783.8,146,57.45288,-5.66909,https://tarns.netlify.app/?id=30,"https://www.google.com/maps/@?api=1&map_action=map&center=57.45288,-5.66909&zoom=15&basemap=satellite",0.706,1.16,1.09
31,Loch nan Eun,Scotland,lake,145034,782.2,714,56.88491,-3.5379,https://tarns.netlify.app/?id=31,"https://www.google.com/maps/@?api=1&map_action=map&center=56.88491,-3.5379&zoom=15&basemap=satellite",0.563,1.94,14.5
32,(unnamed),Scotland,,5145,779.9,141,57.44886,-4.91741,https://tarns.netlify.app/?id=32,"https://www.google.com/maps/@?api=1&map_action=map&center=57.44886,-4.91741&zoom=15&basemap=satellite",0.521,1.92,0.51
33,Coire Lochan,Scotland,,18229,775.0,303,57.26081,-5.24144,https://tarns.netlify.app/?id=33,"https://www.google.com/maps/@?api=1&map_action=map&center=57.26081,-5.24144&zoom=15&basemap=satellite",0.36,1.34,1.82
34,Loch Sgùrr na Fiantaig,Scotland,,13567,773.2,219,57.46225,-5.24145,https://tarns.netlify.app/?id=34,"https://www.google.com/maps/@?api=1&map_action=map&center=57.46225,-5.24145&zoom=15&basemap=satellite",0.478,1.5,1.36
35,(unnamed),England,,7326,768.2,134,54.66764,-2.41115,https://tarns.netlify.app/?id=35,"https://www.google.com/maps/@?api=1&map_action=map&center=54.66764,-2.41115&zoom=15&basemap=satellite",0.729,1.77,0.73
